Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,140.669998,142.449997,139.910004,142.350006,133.422897,4741200
2020-05-05,144.080002,145.339996,143.460007,143.669998,134.660110,3665900
2020-05-06,144.610001,144.869995,142.699997,142.880005,133.919647,3927300
2020-05-07,144.699997,145.759995,144.399994,144.750000,135.672379,3796300
2020-05-08,146.449997,147.630005,145.880005,147.470001,138.221786,4248400
2020-05-11,146.220001,148.210007,146.029999,147.490005,138.240555,4240900
2020-05-12,148.080002,148.309998,144.199997,144.350006,135.297455,4864400
2020-05-13,143.899994,144.309998,140.020004,141.449997,132.579376,5862100
2020-05-14,139.850006,143.089996,138.369995,142.970001,134.004013,7561000
2020-05-15,141.770004,143.860001,141.190002,143.830002,134.810074,3845600
2020-05-18,147.529999,149.410004,147.250000,148.600006,139.280930,4557800
2020-05-19,148.360001,149.300003,147.020004,147.020004,137.800018,3180900
2020-05-20,149.169998,150.190002,148.910004,149.740005,140.349442,3894000
2020-05-21,149.600006,150.130005,148.020004,148.839996,139.505905,3419200
2020-05-22,148.759995,149.279999,147.970001,149.259995,139.899567,3003000
2020-05-26,152.839996,152.889999,151.110001,151.339996,141.849106,4197500
2020-05-27,153.000000,153.729996,150.020004,153.729996,144.089203,5077700
2020-05-28,154.410004,155.190002,152.729996,153.199997,143.592453,4601500
2020-05-29,152.800003,154.130005,151.410004,153.710007,144.070496,4776100
2020-06-01,153.619995,155.089996,153.270004,154.750000,145.045258,3478900
2020-06-02,155.199997,156.000000,154.429993,155.919998,146.141891,4157200
2020-06-03,157.199997,158.800003,157.009995,158.350006,148.419479,9496400
2020-06-04,157.710007,158.649994,156.619995,157.850006,147.950836,5629200
2020-06-05,161.399994,163.080002,161.000000,161.899994,151.746857,4373400
2020-06-08,162.899994,164.199997,162.320007,164.100006,153.808899,5851300
2020-06-09,162.649994,163.479996,161.880005,162.600006,152.402985,3200400
2020-06-10,162.809998,163.250000,161.009995,161.389999,151.268860,4292900
2020-06-11,156.910004,157.699997,151.630005,151.869995,142.345856,12504600
2020-06-12,156.490005,156.490005,150.830002,153.970001,144.314163,6882100
2020-06-15,150.559998,156.160004,149.850006,155.619995,145.860687,4859200
2020-06-16,160.119995,160.119995,155.910004,158.610001,148.663208,4581200
2020-06-17,159.139999,159.210007,157.410004,157.839996,147.941452,3702200
2020-06-18,156.940002,158.300003,156.429993,157.970001,148.063293,2797800
2020-06-19,159.860001,159.880005,156.289993,157.080002,147.229141,3824900
2020-06-22,156.949997,158.300003,156.050003,158.169998,148.250778,2561300
2020-06-23,159.630005,159.979996,158.550003,158.789993,148.831894,2555100
2020-06-24,157.630005,157.910004,153.410004,154.479996,144.792160,3729100
2020-06-25,153.429993,155.770004,152.410004,155.639999,146.543442,4029200
2020-06-26,154.979996,155.169998,151.729996,152.020004,143.135040,3508500
2020-06-29,152.699997,154.279999,151.350006,154.250000,145.234665,3161600
2020-06-30,154.479996,157.220001,154.070007,156.529999,147.381454,4317400
2020-07-01,156.899994,158.039993,156.610001,157.440002,148.238251,3640900
2020-07-02,159.300003,160.070007,157.860001,158.070007,148.831451,3181600
2020-07-06,160.500000,161.029999,159.860001,160.559998,151.175934,3307600
2020-07-07,159.789993,160.880005,158.729996,158.929993,149.641205,2357400
2020-07-08,159.309998,160.279999,158.369995,160.229996,150.865189,2434900
2020-07-09,160.559998,160.699997,157.279999,159.240005,149.933105,2465200
2020-07-10,159.169998,161.009995,158.429993,160.949997,151.543137,2391800
2020-07-13,162.080002,163.550003,158.880005,159.210007,149.904831,4694700
2020-07-14,158.500000,161.419998,157.740005,161.300003,151.872696,3221300
2020-07-15,163.330002,163.639999,161.669998,163.300003,153.755753,3747800
2020-07-16,162.160004,162.800003,161.679993,162.570007,153.068436,2190700
2020-07-17,163.089996,163.509995,162.070007,163.190002,153.652222,2141100
2020-07-20,163.020004,164.860001,162.600006,164.440002,154.829163,3113200
2020-07-21,165.639999,165.899994,164.369995,164.910004,155.271667,2345600
2020-07-22,164.589996,165.940002,164.589996,165.770004,156.081390,2723200
2020-07-23,165.610001,166.199997,163.080002,163.960007,154.377228,3114900
2020-07-24,162.830002,163.399994,161.899994,162.690002,153.181427,2360800
2020-07-27,163.059998,164.100006,162.630005,164.089996,154.499603,2423500
2020-07-28,163.619995,164.229996,162.779999,162.889999,153.369751,1904900
2020-07-29,163.460007,165.429993,163.460007,165.050003,155.403503,2153300
2020-07-30,163.440002,164.869995,162.410004,164.679993,155.055130,2473300
2020-07-31,165.539993,165.619995,162.960007,165.520004,155.846024,3159700
2020-08-03,166.470001,167.300003,166.149994,166.960007,157.201843,4341600
2020-08-04,166.610001,167.619995,166.529999,167.619995,157.823288,2811700
2020-08-05,168.479996,168.919998,168.300003,168.839996,158.971985,2683000
2020-08-06,168.619995,169.779999,168.279999,169.660004,159.744064,2150900
2020-08-07,169.220001,169.949997,168.600006,169.800003,159.875870,2194200
2020-08-10,170.029999,170.389999,169.050003,170.270004,160.318420,2496700
2020-08-11,171.000000,171.330002,168.479996,168.899994,159.028473,3124600
2020-08-12,170.369995,171.520004,170.339996,171.160004,161.156403,3364900
2020-08-13,170.789993,171.750000,170.479996,171.029999,161.033997,2247200
2020-08-14,170.720001,171.300003,170.380005,170.979996,160.986893,2213900
2020-08-17,171.429993,171.860001,171.389999,171.710007,161.674301,3422400
2020-08-18,172.000000,172.270004,170.979996,171.970001,161.919052,3551400
2020-08-19,172.169998,172.500000,170.990005,171.300003,161.288223,2291000
2020-08-20,170.259995,172.059998,170.190002,171.789993,161.749573,2184400
2020-08-21,171.539993,172.300003,171.410004,172.220001,162.154465,2284500
2020-08-24,173.509995,173.869995,172.869995,173.869995,163.707977,2467500
2020-08-25,174.220001,174.470001,173.419998,174.449997,164.254074,5162700
2020-08-26,174.729996,176.179993,174.479996,176.029999,165.741745,2441100
2020-08-27,176.520004,177.289993,175.529999,176.449997,166.137207,3435300
2020-08-28,177.179993,177.710007,176.539993,177.679993,167.295334,4163100
2020-08-31,177.660004,178.139999,176.949997,177.279999,166.918716,3189600
2020-09-01,177.690002,178.990005,177.169998,178.850006,168.396927,2877700
2020-09-02,180.000000,181.669998,179.009995,181.240005,170.647278,4021900
2020-09-03,180.000000,180.490005,173.509995,174.940002,164.715454,5341400
2020-09-04,175.339996,176.139999,169.199997,173.449997,163.312561,4379900
